,Unnamed: 0.1,Unnamed: 0,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
2381,152,214650,139762.0,-0.472628654472839,-1.13318716489853,2.55118984653225,-2.3243901334154,-2.29392618351626,-0.403614183161433,-0.713856498640595,0.175338232510144,-0.860107352672482,0.25086075241102,-1.19235733637437,-1.08709921005297,-0.904621547706018,-1.23247782326709,-1.87392082102749,-0.631657689787929,0.856559518222079,0.0006080314764063,-0.944233155603094,-0.334214967921986,-0.0505505272102855,0.3011996721067,0.218516554255524,0.879769002903885,-0.499661577966019,-0.351031156527385,0.165712382524654,0.169822987237043,96.0,0
948,99,158452,111274.0,2.07764052903114,-0.684731400126914,-0.561644687769956,-0.29555406081943,-0.664216091564902,-0.352580295739381,-0.700836380805871,-0.152319208773174,0.787085708958104,0.568340384544225,1.42932672670214,-1.50004083561565,2.33237546393158,1.44510344213565,-1.54599376170124,-1.14669538036503,0.29565639143933,1.20966181672896,-0.312996333655311,-0.569550768973639,-0.970538994472414,-2.03456937779233,0.548893111720659,-0.465622333959317,-0.781149438182059,0.0130351027291144,-0.0622146337031679,-0.0588950006283949,27.23,0
971,2180,201630,133970.0,-0.598875520963791,0.746262431549844,-0.20618374073729,-1.67115318515419,1.98958100325254,-0.568557629197026,2.58233459848167,-0.884110480624799,-0.190939327739673,-0.766361858595457,-1.51295843375188,-0.184277655213537,0.267453316826157,-0.14777927961611,-1.15318968499094,-0.42012278244331,-1.13958843024685,-0.406750563196347,-0.788320300234114,-0.111053272009265,0.0366601281847113,0.538466469792252,-0.508550199586583,0.136648454878469,0.99918949878551,-0.298096773159149,-0.39218198705193,-0.391951058230635,79.45,0
188,225,226266,144558.0,-1.18970081789418,0.602611942286688,-0.439503049014878,-0.406590473865271,1.00573060733395,-1.23079026492987,0.477268136594412,0.242200574870659,-0.219092472391112,-1.40925528964377,-1.37600120448613,-0.92982232182519,-0.912503819405135,-0.419799239766674,0.84947094242875,0.593747226099854,0.355594880187744,1.01844455784604,-0.213447857019481,-0.149925451461497,0.183383845933912,0.231812632068249,-0.532103700436204,-0.744903590145444,1.27860645268655,0.0726425198142438,-0.378066169857841,-0.189186352103357,18.5,0
22,1604,179834,124258.0,1.99258825299675,-0.52327614335016,-0.470284501659418,0.249250835968758,-0.59712405130585,-0.107196724757866,-0.770746026969064,0.127886986585368,1.05763281560865,0.237424629272398,0.218330186379058,0.4373381138307,-0.571111208515665,0.131331460710987,-0.0429695626731393,0.735170673307183,-0.927737032559404,0.835779966262217,0.112812545188183,-0.216488909392025,0.258018206187573,0.889150873246637,0.0574912303157048,-0.444635277778166,-0.207201931116131,0.654813102935223,-0.0327597117644956,-0.0658007279986522,6.47,0
306,2043,160137,113133.0,2.09342077455417,-0.0752877908385957,-1.53662675283622,0.148281979610644,0.230845527046239,-0.836450670594737,0.120814309894601,-0.249152290454428,0.854955790111894,-0.0812350288923648,-1.00406714487298,-0.0854600079305779,-0.511969560484988,0.583610401633591,0.979214561849743,-0.184967447903254,-0.580788360724135,0.243999168983653,-0.112705836178338,-0.259401492815495,0.245847769932676,0.828205114193589,-0.0011879249440173,0.583720787964161,0.355851121772527,-0.441150519115767,-0.0005531465507913,-0.0499914960218164,1.0,0
164,1787,284406,172414.0,1.7623348800317,-1.62263555037821,-0.637156234391082,-0.842526256697701,-1.26687144067059,-0.268957910443273,-0.902432727803412,-0.0504471594975732,-0.20382933372267,0.835143603283409,0.757499400322482,0.314420499717951,0.798623593468326,-0.351168995457955,-0.132276136162592,1.66824359103931,-0.40969828249681,-0.377448481337021,0.620901263014591,0.428354785139571,0.552641881097212,1.19375862779206,-0.0947419978726258,-0.27432176242637,-0.245142734299159,-0.088294270103147,-0.0217445593516033,-0.0227713304756963,207.42,0
2212,1365,284457,172461.0,-1.059930569119,0.415587804242708,1.95567253031676,1.22305692701922,0.177505511837546,-0.0358174955334869,0.430147927169356,0.258357384786614,0.246526630610724,-0.473363679738055,-1.51295691441757,-0.480222301815061,-1.59084229418732,-0.0349782931588435,-0.602084714451835,-0.908353648229888,0.508417755180724,-0.487587816820221,1.25038455395608,0.27000901195948,-0.510936682974717,-1.39631903085467,0.0548886217766733,-0.127830353795857,0.372815598896377,-0.777385806411466,0.31938376877102,0.15120042979259,60.14,0
989,453,100302,67477.0,-0.784394426761242,-0.102652107346593,2.32139358580325,-1.64422168060768,-1.1055501550648,-0.562706148799537,-0.212989522924234,0.19630343795107,-0.822212824000498,0.0339195422919884,0.0355723581630641,-1.00902693986761,-0.554504519255721,-0.430401371477499,0.763759333403046,1.21256979079677,0.312708846278163,-1.29020195745593,-0.909028025499628,0.248059754524635,0.505852608654091,1.35027500878149,-0.064448111793358,0.623643008470379,-0.0095800532100428,-0.185789123992861,0.340036289176641,0.176631304732424,54.95,0
997,1111,197431,132011.0,-1.61061883192754,0.674177730259873,0.0734464408247808,-2.26316492754389,0.105798958493421,-0.169099559337517,0.600171590760083,0.312334333118856,-1.67771394728617,0.331026901867374,-0.40322776466326,-0.0158908584586344,0.502706720129997,0.372341519538319,-0.700432323289335,-0.649208993618186,-0.938773075192451,2.00802087571001,-0.94159669904479,-0.407785757682094,-0.210548416069138,-0.0903553057905072,-0.548534186318629,-0.999896143231107,1.05828207451272,0.894734055590069,0.107688237777938,0.029995766534216,77.95,0
